file	exit	warn_codes	err_codes	first_err_line
server-002-protect.scrml	0	W-AUTH-001,W-PROGRAM-001		
server-003-protect-multi.scrml	0	W-AUTH-001,W-PROGRAM-001		
server-004-server-func.scrml	0	W-PROGRAM-001		
server-005-mixed.scrml	0	W-PROGRAM-001		
server-006-state-with-tables.scrml	0	W-PROGRAM-001		
server-007-client-only.scrml	0	W-PROGRAM-001		
server-008-form-handler.scrml	0	W-PROGRAM-001		
server-009-server-fn.scrml	0	W-PROGRAM-001		
server-010-multiple-state.scrml	0	W-PROGRAM-001		
snippet-001-basic-slot.scrml	0			
snippet-002-parametric.scrml	0	W-LINT-007		
sql-001-basic-select.scrml	0	W-PROGRAM-001		
sql-002-where.scrml	0	W-PROGRAM-001		
sql-003-join.scrml	0	W-PROGRAM-001		
sql-004-count.scrml	0	W-PROGRAM-001		
sql-005-insert.scrml	0	W-CG-001,W-PROGRAM-001		
sql-006-update.scrml	0	W-CG-001,W-PROGRAM-001		
sql-007-delete.scrml	0	W-CG-001,W-PROGRAM-001		
sql-008-order-limit.scrml	0	W-PROGRAM-001		
sql-009-multiple.scrml	0	W-PROGRAM-001		
sql-010-create-table.scrml	0	W-CG-001,W-PROGRAM-001		
state-001-basic-constructor.scrml	0	W-PROGRAM-001		
state-002-typed-attrs.scrml	0	W-PROGRAM-001		
state-003-constructor-with-logic.scrml	0	W-PROGRAM-001		
state-004-instantiation.scrml	0	W-PROGRAM-001		
state-005-const-binding.scrml	0	W-PROGRAM-001		
state-006-nested-state.scrml	0	W-PROGRAM-001		
state-007-html-attrs.scrml	0	W-PROGRAM-001		
state-008-default-values.scrml	0	W-PROGRAM-001		
state-009-enum-in-state.scrml	0	W-LINT-007,W-PROGRAM-001		
state-010-struct-state-combo.scrml	0	W-LINT-007,W-PROGRAM-001		
state-type-001-custom.scrml	0			
test-001-basic.scrml	0	W-PROGRAM-001		
test-002-with-logic.scrml	0	W-LINT-013,W-PROGRAM-001		
test-003-multiple-tests.scrml	0	W-PROGRAM-001		
test-004-assert-equals.scrml	0	W-PROGRAM-001		
test-005-test-state.scrml	0	W-PROGRAM-001		
test-006-test-sql.scrml	0	W-PROGRAM-001		
test-007-test-function.scrml	0	W-PROGRAM-001		
test-008-test-enum.scrml	0	W-LINT-007,W-PROGRAM-001		
test-009-test-reactive.scrml	0	W-LINT-013,W-PROGRAM-001		
test-010-nested-context.scrml	0	W-PROGRAM-001		
transition-001-basic.scrml	0	W-PROGRAM-001		
type-001-enum.scrml	0	W-PROGRAM-001		
type-002-struct.scrml	0	W-PROGRAM-001		
type-003-tuple.scrml	0	W-PROGRAM-001		
type-004-enum-use.scrml	0	W-PROGRAM-001	E-DG-002	
type-005-multiple-types.scrml	0	W-PROGRAM-001		
type-006-struct-nested.scrml	0	W-PROGRAM-001		
type-007-enum-simple.scrml	0	W-PROGRAM-001		
type-008-type-no-kind.scrml	0	W-PROGRAM-001		
type-009-with-functions.scrml	0	W-PROGRAM-001		
type-010-struct-many-fields.scrml	0	W-PROGRAM-001		
type-011-enum-many-variants.scrml	0	W-PROGRAM-001		
type-012-struct-optional.scrml	0	W-PROGRAM-001		
type-013-type-with-reactive.scrml	0	W-PROGRAM-001	E-DG-002	
type-014-type-before-markup.scrml	0	W-PROGRAM-001		
type-015-combined.scrml	0	W-PROGRAM-001	E-DG-002	
when-001-basic-effect.scrml	0			
when-002-message-handler.scrml	0			
